Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
142,Raymond Felton,PG,27,POR,60,56,1906,4.9,12.1,0.407,1.2,3.8,0.305,3.8,8.3,0.453,1.9,2.3,0.806,0.5,2.3,2.8,7.4,1.5,0.2,3.2,2.3,12.9
143,Rudy Fernández,SG,26,DEN,31,1,710,5,11.4,0.44,2,6.2,0.328,3,5.2,0.573,1.5,2.2,0.698,0.5,2.8,3.3,3.8,1.6,0.2,2,1.9,13.6
144,Kyrylo Fesenko,C,25,IND,3,0,17,4.2,10.6,0.4,0,0,,4.2,10.6,0.4,8.5,12.7,0.667,4.2,14.8,19.1,2.1,4.2,0,0,4.2,16.9
145,Landry Fields,SG,23,NYK,66,62,1894,4.5,9.8,0.46,0.6,2.3,0.256,3.9,7.5,0.523,1.5,2.6,0.562,1.1,4.2,5.3,3.2,1.5,0.3,1.9,1.9,11
146,Derek Fisher,PG,37,TOT,63,43,1508,3.1,8.3,0.371,0.8,2.6,0.321,2.2,5.7,0.393,1.4,1.6,0.851,0.3,2.6,2.9,4.1,1.2,0.1,1.7,2.8,8.4
147,Jonny Flynn,PG,22,TOT,29,1,416,4,11.3,0.351,0.9,2.9,0.294,3.1,8.4,0.371,2.5,3.4,0.744,0.7,2.7,3.4,8.3,0.5,0.2,3.1,2,11.3
148,Jeff Foote,C,24,NOH,4,0,39,1.8,5.5,0.333,0,0,,1.8,5.5,0.333,0,0,,0.9,4.6,5.5,0,0,0.9,1.8,4.6,3.7
149,Gary Forbes,SG,26,TOR,48,2,713,5.7,13.7,0.413,1.5,4.2,0.349,4.2,9.5,0.441,3.3,4.6,0.725,1.4,3.8,5.2,2.7,1.2,0.2,2.7,2.8,16.1
150,T.J. Ford,PG,28,SAS,14,0,191,3.6,8.1,0.442,0.4,1.5,0.25,3.2,6.6,0.486,2.1,2.6,0.786,0.6,2.8,3.4,8.5,1.7,0.4,4.3,4.3,9.6
151,Courtney Fortson,PG,23,TOT,10,0,95,4.2,12.1,0.344,1.1,4.9,0.231,3,7.2,0.421,3.8,5.7,0.667,2.3,3.4,5.7,3.8,1.1,0,3.8,1.9,13.3
152,Jeff Foster,C,35,IND,11,0,141,2.3,4.6,0.5,0.3,0.3,1,2,4.3,0.471,1.5,2.3,0.667,4.6,6.1,10.7,1,2,0.3,1.8,6.6,6.4
153,Randy Foye,SG,28,LAC,65,48,1682,5.5,13.8,0.398,2.7,7,0.386,2.8,6.7,0.41,1.6,1.8,0.859,0.5,2.4,3,3.1,1,0.5,1.6,2.8,15.2
154,Jimmer Fredette,PG,22,SAC,61,7,1135,5.5,14.1,0.386,2.5,6.9,0.361,3,7.3,0.409,1.3,1.5,0.833,0.5,1.8,2.3,3.4,1,0.1,2.1,2.3,14.7
155,Channing Frye,PF,28,PHO,64,59,1669,5.5,13.2,0.416,2,5.7,0.346,3.5,7.5,0.469,1.6,1.8,0.89,1.5,6.6,8.2,1.9,0.9,1.5,1.4,3.8,14.5
156,Dan Gadzuric,C,33,NYK,2,0,13,0,5.5,0,0,0,,0,5.5,0,0,5.5,0,2.8,11.1,13.8,0,2.8,2.8,2.8,11.1,0
157,Sundiata Gaines,SG,25,NJN,57,12,793,4.6,12.3,0.376,1.3,3.7,0.341,3.4,8.6,0.392,2.7,4.4,0.615,1.2,3.7,4.9,5.7,2.5,0.1,2.4,2.6,13.2
158,Danilo Gallinari,SF,23,DEN,43,40,1351,5.1,12.4,0.414,1.6,4.9,0.328,3.5,7.5,0.47,4.8,5.6,0.871,0.7,4.6,5.4,3.1,1.1,0.6,1.8,2.3,16.7
159,Francisco García,SF,30,SAC,49,3,798,3.9,10.3,0.376,1.7,5.9,0.29,2.2,4.4,0.49,1.1,1.4,0.8,0.5,4,4.5,1.4,1.6,1.7,1,3.3,10.6
160,Kevin Garnett*,C,35,BOS,60,60,1864,7.6,15,0.503,0.1,0.2,0.333,7.5,14.8,0.505,3.1,3.7,0.857,1.3,8.3,9.5,3.4,1.1,1.2,2.1,2.7,18.3
161,Marc Gasol,C,27,MEM,65,65,2370,5.4,11.2,0.482,0,0.2,0.083,5.4,11.1,0.489,3.6,4.8,0.748,1.8,7,8.8,3.1,0.9,1.8,1.8,3.1,14.5
162,Pau Gasol,PF,31,LAL,65,65,2430,6.8,13.6,0.501,0.1,0.4,0.259,6.7,13.2,0.508,3,3.9,0.782,2.7,7.3,10,3.5,0.5,1.3,2.1,1.9,16.7
163,Rudy Gay,SF,25,MEM,65,65,2422,7.2,15.9,0.455,0.8,2.6,0.312,6.4,13.3,0.482,3.1,3.9,0.791,1.9,4.3,6.2,2.2,1.4,0.8,2.4,2.1,18.3
164,Alonzo Gee,SG,24,CLE,63,31,1827,4.5,10.9,0.412,0.9,2.7,0.321,3.6,8.2,0.442,3.3,4.2,0.788,2,4.4,6.3,2.2,1.6,0.3,2.2,2.9,13.1
165,Paul George,SG,21,IND,66,66,1958,5.2,11.7,0.44,1.7,4.3,0.385,3.5,7.4,0.472,2.7,3.3,0.802,1,5.8,6.8,2.9,2,0.7,2.2,3.5,14.7
166,Daniel Gibson,SG,25,CLE,35,7,916,3.4,9.7,0.351,2.2,5.5,0.396,1.3,4.3,0.294,1.3,1.7,0.791,0.4,3.5,4,3,1,0.6,1.8,2.7,10.3
167,Taj Gibson,PF,26,CHI,63,0,1284,5.6,11.3,0.495,0,0,,5.6,11.3,0.495,2.4,3.8,0.622,3.8,5.5,9.3,1.3,0.8,2.3,1.7,3.7,13.6
168,Manu Ginóbili,SG,34,SAS,34,7,792,6.8,13,0.526,2.4,5.7,0.413,4.5,7.2,0.616,4,4.6,0.871,0.8,4.5,5.3,6.9,1.1,0.5,2.9,2.5,20
169,Mickell Gladness,PF,25,TOT,26,7,252,3.6,8.4,0.424,0,0,,3.6,8.4,0.424,0.9,1.7,0.5,2,6.3,8.3,0.7,0.6,2.9,1,4.6,8
170,Ryan Gomes,SF,29,LAC,32,2,425,2.6,8,0.326,0.3,2.5,0.138,2.3,5.6,0.409,0.7,0.9,0.727,1.2,4,5.2,1,1.4,0,1.3,2.9,6.3
171,Drew Gooden,C,30,MIL,56,46,1469,7,16.1,0.437,0.4,1.3,0.291,6.6,14.8,0.45,4.3,5.1,0.846,3.2,5.7,8.9,3.5,1.1,0.8,2.7,2.7,18.8
172,Ben Gordon,SG,28,DET,52,21,1398,6,13.6,0.442,1.6,3.8,0.429,4.4,9.9,0.446,3,3.5,0.86,0.4,2.8,3.1,3.3,0.9,0.3,3,2.9,16.7
173,Eric Gordon,SG,23,NOH,9,9,310,7.3,16.3,0.45,1.2,4.6,0.25,6.2,11.6,0.53,5.7,7.5,0.754,0.2,2.7,2.9,3.6,1.5,0.5,2.8,2.3,21.5
174,Marcin Gortat,C,27,PHO,66,66,2114,7.3,13.1,0.555,0,0,0,7.3,13.1,0.557,2.8,4.3,0.649,3.2,8.1,11.2,1,0.8,1.7,1.5,2.4,17.3
175,Andrew Goudelock,SG,23,LAL,40,0,419,5.8,14.9,0.391,2.4,6.4,0.373,3.4,8.5,0.404,0.9,1,0.917,0.4,2.2,2.7,1.7,0.3,0,1.8,2.7,15
176,Danny Granger,SF,28,IND,62,62,2062,6.8,16.4,0.416,2.1,5.6,0.381,4.7,10.8,0.434,4.4,5.1,0.873,1.4,4,5.4,1.9,1.1,0.7,1.9,2.5,20.2
